episode_idx	episode_id	scene	exit_code	start_time	end_time	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
829	1406	TbHJrupSAjP	0	2026-08-17T08:42:23+01:00	2026-08-17T09:03:24+01:00	True	True	True	2.1762142181396484	0.5875840783119202
18	31	x8F5xyUWy9e	0	2026-08-17T09:03:24+01:00	2026-08-17T09:30:05+01:00	True	False	False	0.0	2.571943998336792
97	143	QUCTc6BB5sX	0	2026-08-17T09:30:05+01:00	2026-08-17T09:36:49+01:00	False	False	False	3.39370059967041	7.501426696777344
226	359	TbHJrupSAjP	0	2026-08-17T09:36:49+01:00	2026-08-17T09:54:28+01:00	True	False	False	7.900912761688232	0.7699741125106812
228	361	zsNo4HB9uLZ	0	2026-08-17T09:54:29+01:00	2026-08-17T10:11:57+01:00	True	False	False	7.826104164123535	0.9712395668029785
233	366	2azQ1b91cZZ	0	2026-08-17T10:11:57+01:00	2026-08-17T10:16:34+01:00	True	True	True	1.5824048519134521	0.7376541495323181
266	420	zsNo4HB9uLZ	0	2026-08-17T10:16:34+01:00	2026-08-17T10:28:49+01:00	True	False	False	6.293235778808594	0.9492194652557373
291	472	TbHJrupSAjP	0	2026-08-17T10:28:49+01:00	2026-08-17T10:54:17+01:00	True	False	False	8.683273315429688	0.167748361825943
304	494	2azQ1b91cZZ	0	2026-08-17T10:54:17+01:00	2026-08-17T11:16:11+01:00	True	False	False	7.412319660186768	2.353066921234131
353	579	QUCTc6BB5sX	0	2026-08-17T11:16:11+01:00	2026-08-17T11:40:08+01:00	True	True	True	1.9093279838562012	1.6737004518508911
376	629	zsNo4HB9uLZ	0	2026-08-17T11:40:08+01:00	2026-08-17T11:55:44+01:00	True	True	True	1.1735713481903076	0.7633232474327087
426	718	2azQ1b91cZZ	0	2026-08-17T11:55:44+01:00	2026-08-17T12:06:17+01:00	True	False	False	4.02433443069458	0.33773425221443176
428	720	2azQ1b91cZZ	0	2026-08-17T12:06:17+01:00	2026-08-17T12:40:39+01:00	True	False	False	12.765130043029785	0.3948325514793396
463	785	QUCTc6BB5sX	0	2026-08-17T12:40:39+01:00	2026-08-17T13:00:31+01:00	True	False	False	5.9110636711120605	0.6292834877967834
476	807	2azQ1b91cZZ	0	2026-08-17T13:00:31+01:00	2026-08-17T13:18:37+01:00					
566	978	QUCTc6BB5sX	0	2026-08-17T13:18:37+01:00	2026-08-17T14:09:42+01:00	True	False	False	2.96722149848938	1.5661656856536865
621	1084	zsNo4HB9uLZ	0	2026-08-17T14:09:42+01:00	2026-08-17T14:13:58+01:00	True	True	True	2.1485981941223145	0.7596444487571716
645	1117	x8F5xyUWy9e	0	2026-08-17T14:13:58+01:00	2026-08-17T14:22:50+01:00	True	True	True	0.5292106866836548	2.2224347591400146
